DBCODE,ENTITY,YEAR,DATE,STREAM,SITE,SITE_CODE,TRANSECT,REACH_SECTION,WETTED_WIDTH,DEPTH_1,DEPTH_2,DEPTH_3,DEPTH_4,DEPTH_5,MAX_DEPTH,REACH_LENGTH,NOTES
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",25,M,570,25.0,21.0,28.0,22.0,11.0,28.0,64,"Split channel"
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",30,M,730,11.0,14.0,12.0,35.0,12.0,35.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",35,M,570,22.0,37.0,10.0,33.0,30.0,37.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",40,M,460,31.0,35.0,38.0,28.0,70.0,45.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",45,M,620,4.0,22.0,12.0,26.0,33.0,33.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",50,M,680,21.0,34.0,22.0,23.0,17.0,34.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",55,M,860,10.0,44.0,44.0,15.0,23.0,45.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",60,M,590,17.0,20.0,25.0,22.0,14.0,30.0,64,""
AS011,2,2017,2017-08-15,"Lookout","L703_LOWER","L894",64,M,590,16.0,7.0,39.0,45.0,5.0,61.0,64,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",0,M,710,19.0,26.0,34.0,28.0,14.0,40.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",5,M,680,14.0,12.0,21.0,11.0,10.0,24.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",10,M,620,14.0,16.0,33.0,30.0,18.0,33.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",15,M,450,21.0,40.0,40.0,25.0,39.0,41.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",20,M,530,21.0,20.0,24.0,15.0,19.0,36.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",25,M,520,12.0,28.0,20.0,21.0,5.0,31.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",30,M,510,6.0,20.0,34.0,15.0,10.0,35.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",35,M,670,29.0,17.0,19.0,12.0,10.0,31.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",40,M,670,29.0,25.0,15.0,21.0,13.0,30.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",45,M,650,17.0,26.0,16.0,7.0,27.0,32.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",50,M,730,9.0,20.0,13.0,27.0,35.0,37.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",55,M,560,4.0,12.0,25.0,14.0,9.0,30.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",60,M,480,20.0,37.0,25.0,43.0,64.0,60.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",65,M,460,34.0,32.0,38.0,19.0,3.0,41.0,69,""
AS011,2,2017,2017-08-17,"Lookout","L703_UPPER","L906",69,M,630,37.0,26.0,17.0,28.0,19.0,45.0,69,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",0,M,630,18.0,8.0,17.0,19.0,20.0,23.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",5,M,960,14.0,5.0,42.0,35.0,44.0,63.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",10,M,1030,17.0,5.0,5.0,11.0,4.0,23.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",15,M,870,5.0,5.0,35.0,9.0,10.0,36.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",20,M,690,7.0,25.0,11.0,9.0,15.0,30.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",25,M,740,4.0,9.0,23.0,17.0,10.0,25.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",30,M,600,13.0,21.0,24.0,18.0,4.0,28.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",35,M,440,9.0,27.0,49.0,26.0,9.0,51.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",40,M,420,14.0,31.0,23.0,11.0,7.0,32.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",45,M,410,10.0,18.0,26.0,12.0,7.0,29.0,60,"trib entering"
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",50,M,600,9.0,13.0,15.0,16.0,6.0,17.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",55,M,540,13.0,16.0,4.0,16.0,6.0,17.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_LOWER","R620",60,M,610,11.0,9.0,24.0,4.0,12.0,27.0,60,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",0,M,420,11.0,32.0,22.0,19.0,14.0,34.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",5,M,630,10.0,8.0,20.0,21.0,14.0,25.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",10,M,660,8.0,7.0,19.0,61.0,11.0,64.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",15,M,1050,17.0,4.0,23.0,18.0,30.0,32.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",20,M,1180,19.0,16.0,33.0,13.0,14.0,40.0,63,"1.5m boulder"
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",25,M,920,10.0,6.0,10.0,20.0,17.0,21.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",30,M,910,3.0,9.0,13.0,14.0,14.0,15.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",35,M,670,13.0,15.0,14.0,35.0,13.0,37.0,63,"Split channel"
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",40,M,620,20.0,19.0,3.0,5.0,25.0,25.0,63,"1.5m boulder"
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",45,M,680,26.0,24.0,20.0,6.0,16.0,41.0,63,"under big log, side pool cuts up and around log"
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",50,M,880,32.0,37.0,15.0,6.0,26.0,42.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",55,M,440,6.0,14.0,20.0,9.0,10.0,25.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",60,M,510,7.0,14.0,16.0,8.0,2.0,17.0,63,""
AS011,2,2017,2017-08-23,"McRae","M404_UPPER","R631",63,M,510,12.0,10.0,16.0,11.0,8.0,18.0,63,""
AS011,2,2017,2017-08-29,"Mack","MACK_HW_BELOW_EOF","M864",0,M,570,15.0,16.0,9.0,10.0,4.0,18.0,76,""
AS011,2,2017,2017-08-29,"Mack","MACK_HW_BELOW_EOF","M864",5,M,710,6.0,17.0,13.0,5.0,3.0,25.0,76,""
AS011,2,2017,2017-08-29,"Mack","MACK_HW_BELOW_EOF","M864",10,M,760,8.0,16.0,15.0,9.0,7.0,19.0,76,""
AS011,2,2017,2017-08-29,"Mack","MACK_HW_BELOW_EOF","M864",15,M,800,28.0,20.0,13.0,27.0,17.0,30.0,76,""
AS011,2,2017,2017-08-29,"Mack","MACK_HW_BELOW_EOF","M864",20,M,680,6.0,7.0,24.0,15.0,18.0,26.0,76,""
